Country,Income inequality,Trust,Life expectancy,Infant mortality,Homicides,Imprisonment (log)
Australia,7,39.900001525878906,79.19999694824219,4.9,16.900001525878906,4.605170249938965
Austria,4.824999809265137,33.900001525878906,78.5,4.8,11.59999942779541,4.521788597106934
Belgium,4.599999904632568,30.700000762939453,78.80000305175781,5,13,4.276666164398193
Canada,5.625,38.79999923706055,79.30000305175781,5.3,17.299999237060547,4.770684719085693
Denmark,4.300000190734863,66.5,76.5999984741211,5.3,12.699999809265137,4.174387454986572
Finland,3.7249999046325684,58,78,3.7,28.19999885559082,4.110873699188232
France,5.599999904632568,22.200000762939453,79,4.4,21.5,4.499809741973877
Germany,5.200000286102295,34.79999923706055,78.30000305175781,4.4,13.699999809265137,4.510859489440918
Greece,6.199999809265137,23.700000762939453,78.30000305175781,5,13.899999618530273,3.332204580307007
Ireland,6.050000190734863,35.20000076293945,77,5.9,8.600000381469727,4.174387454986572
Israel,6.775000095367432,23.5,79.19999694824219,5.5,25.399999618530273,5.176149845123291
Italy,6.650000095367432,32.599998474121094,78.69999694824219,4.6,19.899999618530273,4.418840408325195
Japan,3.4000000953674316,43.099998474121094,81.5999984741211,3.2,5.199999809265137,3.6888794898986816
Netherlands,5.300000190734863,59.79999923706055,78.30000305175781,4.6,14.5,4.219507694244385
New Zealand,6.800000190734863,49.099998474121094,78.30000305175781,6,12.300000190734863,4.969813346862793
Norway,3.8500001430511475,65.30000305175781,78.9000015258789,3.8,9.700000762939453,3.9512436389923096
Portugal,8,10,76.19999694824219,6,34.599998474121094,4.795790672302246
Singapore,9.699999809265137,16.899999618530273,78.0999984741211,2.9,15.5,5.713732719421387
Spain,5.550000190734863,36.20000076293945,79.30000305175781,4.1,8.100000381469727,4.744932174682617
Sweden,3.950000047683716,66.30000305175781,80.0999984741211,3.2,18.700000762939453,4.158883094787598
Switzerland,5.725000381469727,41,79.0999984741211,4.9,12.699999809265137,4.418840408325195
UK,7.174999713897705,29.799999237060547,78.19999694824219,5.6,15,4.820281505584717
USA,8.549999237060547,35.79999923706055,77.0999984741211,6.9,64,6.356107711791992
